date,open,high,low,close,volume
2017-06-14,151.0942,153.6271,148.0827,151.2937,29616036
2017-06-15,146.547,153.1684,146.0883,151.9418,24095612
2017-06-16,152.3307,154.2653,149.8178,151.1939,23123950
2017-06-19,152.9789,157.0873,152.8293,156.8779,19454439
2017-06-20,158.5831,161.2855,156.479,156.6486,27386086
2017-06-21,157.7654,159.1715,155.2625,159.0219,17066279
2017-06-22,159.351,159.8894,156.9577,157.925,11728324
2017-06-23,158.2341,158.8723,152.7894,153.3977,27214702
2017-06-26,154.724,156.1599,147.9132,151.7225,26598996
2017-06-27,151.0144,151.3635,145.9387,146.1681,24987313
2017-06-28,148.9004,151.513,145.3404,151.3236,24873679
2017-06-29,150.1768,150.2965,143.6751,146.2678,26610631
2017-06-30,146.9659,147.5143,143.0968,144.1538,18276526
2017-07-03,144.6424,145.2444,138.1906,138.9385,17726821
2017-07-05,141.5013,143.8147,140.7334,142.648,20504738
2017-07-06,141.4713,144.9714,139.3673,143.0768,18657132
2017-07-07,145.3704,147.0855,144.443,146.3476,16374302
2017-07-10,149.3192,153.5673,148.2664,153.2681,23962269
2017-07-11,153.4177,155.7511,151.7225,155.442,18948883
2017-07-12,157.8552,162.542,156.1201,162.0533,28630213
2017-07-13,162.542,165.8327,158.3039,160.1786,34228333
2017-07-14,160.8368,164.5463,160.5576,164.4865,23548708
2017-07-17,165.8626,167.0293,161.2955,163.7884,23269759
2017-07-18,161.3254,166.082,160.8467,165.4936,19415987
2017-07-19,165.8626,166.9296,164.1474,164.6361,17176140
2017-07-20,165.4637,167.0393,163.4515,167.0293,17489889
2017-07-21,166.2016,168.8243,165.6233,167.6276,16208257
2017-07-24,167.9168,168.3057,165.2543,165.6831,16313052
2017-07-25,164.7557,165.4637,163.1213,164.8854,12413896
2017-07-26,167.2088,169.4495,165.384,166.79,16010113
2017-07-27,167.7972,168.2658,157.1172,161.2855,19571379
2017-07-28,159.8396,164.9153,158.8324,163.9281,12833737
2017-07-31,164.4765,165.9324,160.1686,162.0533,13991802
2017-08-01,161.6694,164.0976,160.5476,164.0278,10784578
2017-08-02,165.2842,165.4438,160.8168,163.9281,11961082
2017-08-03,163.9081,166.1618,163.2201,166.0122,11060541
2017-08-04,166.9296,169.5921,166.0122,166.7401,14727353
2017-08-07,167.9168,171.8856,167.5279,171.8657,17935280
2017-08-08,173.4014,174.0695,168.2359,169.8214,18883354
2017-08-09,167.9567,171.7261,167.1988,171.6264,13269623
2017-08-10,171.6762,172.1748,163.8682,164.2771,33202199
2017-08-11,156.6984,158.5532,152.4803,155.5217,37429859
2017-08-14,159.2213,168.0764,158.7526,167.9268,31975541
2017-08-15,168.1362,169.1932,165.1247,166.5108,19113263
2017-08-16,167.1191,168.0664,163.3796,164.6859,14915786
2017-08-17,164.3469,165.0349,160.9265,161.0163,13136065
2017-08-18,163.2101,163.8981,159.1914,161.0462,15030107
2017-08-21,162.0334,162.4921,156.9278,158.7028,15591767
2017-08-22,160.18,162.4755,159.4015,162.236,11261403
2017-08-23,160.8886,165.9288,160.5393,165.4797,14487996
2017-08-24,166.7772,166.9569,163.803,164.8709,11742501
2017-08-25,165.849,166.2582,163.2341,163.4936,8930022
2017-08-28,164.2621,164.7811,162.0164,164.6513,9737393
2017-08-29,162.2759,165.2601,161.9476,164.3818,8102357
2017-08-30,165.1803,165.8091,163.9527,165.3599,9610039
2017-08-31,166.1784,169.2724,165.8789,169.1127,15317105
2017-09-01,169.6217,171.5679,169.2724,170.1307,11135787
2017-09-05,168.0547,168.2586,163.2465,165.5895,17417392
2017-09-06,166.9169,167.4759,164.0824,165.4897,9941783
2017-09-07,166.1684,167.5657,164.6314,166.2582,8821702
2017-09-08,165.7891,166.388,162.3957,163.3738,12471422
2017-09-11,165.2202,169.1052,165.0006,168.6735,14186078
2017-09-12,169.6716,169.6716,166.6475,169.2824,10287203
2017-09-13,168.2643,171.2086,166.9569,170.0409,14523973
2017-09-14,168.4639,172.2267,167.4759,169.0728,12842837
2017-09-15,172.5261,179.7621,172.3165,179.7621,34119764
2017-09-18,184.7824,190.8306,184.5029,187.1877,42111516
2017-09-19,185.1516,189.4833,184.2584,186.9881,21856994
2017-09-20,187.1378,189.0541,183.8542,185.481,18122991
2017-09-21,181.2891,182.3471,177.2669,180.4108,26889994
2017-09-22,179.9517,181.9578,178.255,178.6542,12280771
2017-09-25,177.4066,177.4565,169.8313,170.6697,21864476
2017-09-26,176.1091,178.3348,170.0209,171.6278,28140511
2017-09-27,175.2807,175.9295,172.4163,175.3905,17842967
2017-09-28,175.68,175.8397,173.4243,175.3406,10881065
2017-09-29,178.7341,179.3828,176.9076,178.4247,15477293
2017-10-02,180.4507,181.6285,176.6581,178.6542,12586960
2017-10-03,178.9037,180.2312,177.237,179.0235,9758268
2017-10-04,179.273,181.4189,177.7959,180.5206,10696220
2017-10-05,181.5087,181.6484,179.2131,180.4208,10934105
2017-10-06,179.303,181.4887,178.6542,180.9498,7969957
2017-10-09,182.4369,186.3693,181.6784,185.0319,14087272
2017-10-10,191.0602,192.5773,186.8983,188.565,24371902
2017-10-11,189.2337,190.631,187.3773,190.5712,13237734
2017-10-12,190.7109,192.717,189.5632,190.661,13207315
2017-10-13,193.1761,194.6233,191.2798,194.2141,15718233
2017-10-16,195.4218,197.6654,192.8667,197.5476,14415958
2017-10-17,196.7093,198.5158,195.9707,197.368,11964867
2017-10-18,197.7273,197.7572,192.9466,197.1983,14182907
2017-10-19,194.0644,197.6175,192.0783,197.4179,14269253
2017-10-20,198.1066,199.2044,196.1603,196.5196,11290462
